image_id,class_id,super_class_id,path,image_path,source_split,exists
7,1,1,bicycle_final/111085122871_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111085122871_6.JPG,train,True
35,6,1,bicycle_final/111476691561_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111476691561_3.JPG,train,True
63,11,1,bicycle_final/111588452395_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111588452395_0.JPG,train,True
69,13,1,bicycle_final/111611735309_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111611735309_0.JPG,train,True
75,14,1,bicycle_final/111612717975_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111612717975_3.JPG,train,True
87,16,1,bicycle_final/111645993618_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111645993618_3.JPG,train,True
95,17,1,bicycle_final/111646738161_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111646738161_7.JPG,train,True
109,21,1,bicycle_final/111666161509_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111666161509_0.JPG,train,True
111,22,1,bicycle_final/111672542907_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111672542907_0.JPG,train,True
114,23,1,bicycle_final/111678374084_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111678374084_1.JPG,train,True
137,26,1,bicycle_final/111693649069_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111693649069_4.JPG,train,True
138,27,1,bicycle_final/111699218787_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699218787_0.JPG,train,True
145,28,1,bicycle_final/111699241031_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699241031_3.JPG,train,True
148,29,1,bicycle_final/111699316376_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699316376_1.JPG,train,True
158,31,1,bicycle_final/111699866974_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111699866974_0.JPG,train,True
167,33,1,bicycle_final/111702172753_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111702172753_1.JPG,train,True
177,35,1,bicycle_final/111705341883_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111705341883_3.JPG,train,True
183,36,1,bicycle_final/111708744044_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111708744044_5.JPG,train,True
196,38,1,bicycle_final/111708813226_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111708813226_2.JPG,train,True
205,39,1,bicycle_final/111716182399_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111716182399_4.JPG,train,True
234,43,1,bicycle_final/111719771857_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111719771857_6.JPG,train,True
268,47,1,bicycle_final/111727186977_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111727186977_1.JPG,train,True
274,48,1,bicycle_final/111727842716_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111727842716_4.JPG,train,True
315,55,1,bicycle_final/111729445076_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111729445076_1.JPG,train,True
332,57,1,bicycle_final/111730020902_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730020902_6.JPG,train,True
336,58,1,bicycle_final/111730085516_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730085516_0.JPG,train,True
342,59,1,bicycle_final/111730103106_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730103106_0.JPG,train,True
368,62,1,bicycle_final/111730975890_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111730975890_5.JPG,train,True
372,64,1,bicycle_final/111731808842_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111731808842_0.JPG,train,True
375,65,1,bicycle_final/111732264207_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111732264207_0.JPG,train,True
403,68,1,bicycle_final/111733161917_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733161917_5.JPG,train,True
407,69,1,bicycle_final/111733200630_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733200630_2.JPG,train,True
412,70,1,bicycle_final/111733215174_11.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733215174_11.JPG,train,True
432,72,1,bicycle_final/111733317230_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/111733317230_5.JPG,train,True
469,76,1,bicycle_final/121080403828_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121080403828_1.JPG,train,True
481,77,1,bicycle_final/121080408660_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121080408660_5.JPG,train,True
490,78,1,bicycle_final/121104021310_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121104021310_7.JPG,train,True
502,80,1,bicycle_final/121262507781_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121262507781_4.JPG,train,True
511,83,1,bicycle_final/121540328965_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121540328965_1.JPG,train,True
514,84,1,bicycle_final/121551658211_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121551658211_2.JPG,train,True
515,85,1,bicycle_final/121631344039_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121631344039_0.JPG,train,True
526,87,1,bicycle_final/121650365867_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121650365867_4.JPG,train,True
533,88,1,bicycle_final/121659334825_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121659334825_5.JPG,train,True
543,91,1,bicycle_final/121675480696_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121675480696_3.JPG,train,True
549,93,1,bicycle_final/121681616404_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121681616404_1.JPG,train,True
553,94,1,bicycle_final/121688376399_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121688376399_1.JPG,train,True
563,96,1,bicycle_final/121693410331_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121693410331_1.JPG,train,True
571,97,1,bicycle_final/121693410358_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121693410358_3.JPG,train,True
593,100,1,bicycle_final/121693474773_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121693474773_5.JPG,train,True
597,101,1,bicycle_final/121694501472_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121694501472_3.JPG,train,True
610,104,1,bicycle_final/121700932933_10.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121700932933_10.JPG,train,True
625,106,1,bicycle_final/121702428876_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121702428876_1.JPG,train,True
630,107,1,bicycle_final/121703138970_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121703138970_2.JPG,train,True
642,109,1,bicycle_final/121705954472_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121705954472_2.JPG,train,True
652,110,1,bicycle_final/121706104544_8.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121706104544_8.JPG,train,True
663,112,1,bicycle_final/121706572367_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121706572367_1.JPG,train,True
670,114,1,bicycle_final/121706942171_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121706942171_2.JPG,train,True
691,118,1,bicycle_final/121710215179_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121710215179_0.JPG,train,True
701,119,1,bicycle_final/121710326891_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121710326891_6.JPG,train,True
708,120,1,bicycle_final/121710719816_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121710719816_4.JPG,train,True
717,121,1,bicycle_final/121710995336_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121710995336_4.JPG,train,True
765,126,1,bicycle_final/121714037108_8.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121714037108_8.JPG,train,True
778,130,1,bicycle_final/121715317560_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121715317560_1.JPG,train,True
781,131,1,bicycle_final/121715427773_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121715427773_1.JPG,train,True
800,132,1,bicycle_final/121715580427_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121715580427_6.JPG,train,True
833,139,1,bicycle_final/121720460294_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/121720460294_1.JPG,train,True
836,140,1,bicycle_final/130901087535_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/130901087535_0.JPG,train,True
848,141,1,bicycle_final/130965595946_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/130965595946_3.JPG,train,True
871,144,1,bicycle_final/131361479597_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131361479597_1.JPG,train,True
877,145,1,bicycle_final/131405476260_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131405476260_3.JPG,train,True
904,150,1,bicycle_final/131554463573_11.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131554463573_11.JPG,train,True
943,154,1,bicycle_final/131561502937_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131561502937_1.JPG,train,True
963,156,1,bicycle_final/131562694544_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131562694544_4.JPG,train,True
969,157,1,bicycle_final/131563411079_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131563411079_0.JPG,train,True
1014,161,1,bicycle_final/131564997442_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131564997442_1.JPG,train,True
1031,163,1,bicycle_final/131564999237_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131564999237_2.JPG,train,True
1041,164,1,bicycle_final/131565001811_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131565001811_2.JPG,train,True
1060,166,1,bicycle_final/131565056049_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131565056049_3.JPG,train,True
1066,167,1,bicycle_final/131565408661_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131565408661_2.JPG,train,True
1086,170,1,bicycle_final/131565759745_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131565759745_5.JPG,train,True
1098,172,1,bicycle_final/131566468852_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131566468852_3.JPG,train,True
1103,173,1,bicycle_final/131566476204_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131566476204_0.JPG,train,True
1113,174,1,bicycle_final/131566532239_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131566532239_2.JPG,train,True
1149,179,1,bicycle_final/131568150445_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131568150445_2.JPG,train,True
1186,184,1,bicycle_final/131569321637_10.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/131569321637_10.JPG,train,True
1217,188,1,bicycle_final/140931822548_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/140931822548_1.JPG,train,True
1221,189,1,bicycle_final/141387526580_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141387526580_0.JPG,train,True
1239,191,1,bicycle_final/141629590814_5.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141629590814_5.JPG,train,True
1244,192,1,bicycle_final/141667672628_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141667672628_0.JPG,train,True
1253,193,1,bicycle_final/141673401537_7.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141673401537_7.JPG,train,True
1268,196,1,bicycle_final/141713580984_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141713580984_0.JPG,train,True
1286,198,1,bicycle_final/141718825150_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141718825150_2.JPG,train,True
1298,200,1,bicycle_final/141722064853_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141722064853_1.JPG,train,True
1312,201,1,bicycle_final/141722146167_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141722146167_3.JPG,train,True
1318,202,1,bicycle_final/141726185049_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141726185049_0.JPG,train,True
1368,207,1,bicycle_final/141729292495_11.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141729292495_11.JPG,train,True
1388,208,1,bicycle_final/141730118718_9.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141730118718_9.JPG,train,True
1390,209,1,bicycle_final/141730418853_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141730418853_1.JPG,train,True
1413,211,1,bicycle_final/141730433316_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141730433316_4.JPG,train,True
1430,213,1,bicycle_final/141731837563_11.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141731837563_11.JPG,train,True
1453,215,1,bicycle_final/141732891951_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141732891951_3.JPG,train,True
1477,218,1,bicycle_final/141733378184_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141733378184_0.JPG,train,True
1490,220,1,bicycle_final/141734023267_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141734023267_0.JPG,train,True
1505,222,1,bicycle_final/141734733640_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141734733640_1.JPG,train,True
1525,224,1,bicycle_final/141734776143_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/141734776143_4.JPG,train,True
1537,226,1,bicycle_final/150678089430_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/150678089430_2.JPG,train,True
1575,232,1,bicycle_final/151688514404_10.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151688514404_10.JPG,train,True
1588,233,1,bicycle_final/151692731448_3.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151692731448_3.JPG,train,True
1601,235,1,bicycle_final/151709187034_6.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151709187034_6.JPG,train,True
1623,237,1,bicycle_final/151735821027_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151735821027_4.JPG,train,True
1629,238,1,bicycle_final/151736367388_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151736367388_0.JPG,train,True
1733,249,1,bicycle_final/151747426463_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151747426463_1.JPG,train,True
1744,250,1,bicycle_final/151747657306_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151747657306_1.JPG,train,True
1754,253,1,bicycle_final/151747946368_2.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151747946368_2.JPG,train,True
1765,255,1,bicycle_final/151749856007_1.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151749856007_1.JPG,train,True
1772,257,1,bicycle_final/151753723130_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151753723130_0.JPG,train,True
1783,258,1,bicycle_final/151754903188_8.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151754903188_8.JPG,train,True
1791,260,1,bicycle_final/151758853666_4.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151758853666_4.JPG,train,True
1800,262,1,bicycle_final/151762256271_0.JPG,/kaggle/working/DINOv3-FAISS-HNSW-SOP-VisualProductSearch/data/raw/Stanford_Online_Products/bicycle_final/151762256271_0.JPG,train,True
